100, 0.109707
100, 0.105226
100, 0.108217
100, 0.106714
100, 0.108710
100, 0.106715
100, 0.110705
100, 0.111701
100, 0.110705
100, 0.107711
1000, 0.114694
1000, 0.113696
1000, 0.120689
1000, 0.113204
1000, 0.116688
1000, 0.114694
1000, 0.113696
1000, 0.116688
1000, 0.113696
1000, 0.112699
10000, 0.182512
10000, 0.183510
10000, 0.182512
10000, 0.183521
10000, 0.182523
10000, 0.184014
10000, 0.184507
10000, 0.185503
10000, 0.185504
10000, 0.183510
100000, 0.937494
100000, 0.942985
100000, 0.938995
100000, 0.948969
100000, 0.956947
100000, 0.940496
100000, 0.939489
100000, 0.945483
100000, 0.944980
100000, 0.947467
