100, 	0.109707
100, 	0.108217
100, 	0.110215
100, 	0.109209
100, 	0.107219
100, 	0.106715
100, 	0.106714
100, 	0.106715
100, 	0.107712
100, 	0.106715
1000, 	0.121675
1000, 	0.120677
1000, 	0.122672
1000, 	0.120677
1000, 	0.121675
1000, 	0.121182
1000, 	0.121181
1000, 	0.120184
1000, 	0.123177
1000, 	0.120677
10000, 	0.295211
10000, 	0.294214
10000, 	0.297206
10000, 	0.303200
10000, 	0.317669
10000, 	0.298203
10000, 	0.306208
10000, 	0.294717
10000, 	0.296218
10000, 	0.293226
100000, 	2.488359
100000, 	2.462418
100000, 	2.550688
100000, 	2.545197
100000, 	2.565144
100000, 	2.536947
100000, 	2.674862
100000, 	2.671858
100000, 	2.587111
100000, 	2.608048
