100, 	0.107712
100, 	0.106715
100, 	0.106221
100, 	0.108218
100, 	0.107713
100, 	0.108709
100, 	0.109706
100, 	0.109707
100, 	0.107712
100, 	0.108710
1000, 	0.123669
1000, 	0.120677
1000, 	0.123670
1000, 	0.120185
1000, 	0.122180
1000, 	0.122179
1000, 	0.121181
1000, 	0.121675
1000, 	0.122672
1000, 	0.120678
10000, 	0.299200
10000, 	0.302192
10000, 	0.295221
10000, 	0.298214
10000, 	0.297710
10000, 	0.299200
10000, 	0.296208
10000, 	0.294213
10000, 	0.297709
10000, 	0.293720
100000, 	2.619503
100000, 	2.527966
100000, 	2.596120
100000, 	2.554292
100000, 	2.574624
100000, 	2.559160
100000, 	2.660394
100000, 	2.631472
100000, 	2.602067
100000, 	2.602045
